,0
17,"excelente atención. De los mejores hoteles. Volvería sin pensarlo.  Sugerencias: extractor de olores en los baños (creo que no tiene) y que el horario de la piscina y sauna sean mas amplios, sobre todo en la noche.  "
18,Muy buena atención.muy limpio.maravilloso el desayuno la temperatura del agua muy agradable.pero se escucha todo lo de las habitaciones contiguas... el personal en general te brinda su mayor atención estando pendientes hasta del más mínimo detalle
19,"Muy buen hotel en Barranquilla, muy bien ubicado; cerca de centro comercial y restaurantes; en general muy buena opción. Las habitaciones son amplias y modernas, cuentan con servicio de wifi gratuito."
20,"No todos los Hoteles SHERATON son iguales al de Barranquilla, éste es muy especial en la combinación de gente (siempre amable, sonriente y dispuesta), ambiente, servicios, olores y colores.  Es un HIT total."
21,"En general todo marchó bien durante nuestra estadía, el desayuno delicioso y completo, tuvimos que quedarnos mas tiempo a esperar nuestro vuelo, antes de salir del hotel hacia el aeropuerto pedimos el favor para el préstamo de una ducha y nos dijeron que no era posible, como ya habíamos hecho el checkout, no nos dejaban hacer uso de las instalaciones del hotel."
22,"En su pagina de internet ofrecen el servicio de llevar mascotas , pero en ninguna parte aclaran el super sobre costo que tiene el servicio , entonces para mi es PUBLICIDAD ENGAÑOSA , llegue con mi perro que es mini cabe en mi cartera y me miraron como si llevara una bomba explisiva , en que cabeza cabe que un perro de 20 cms va a pagar un estadia de 300 mil pesos , practicamente el doble de de lo que pagamso por la familia ??? valdria la pena denunciar a la super intendencia . Eso no es etico."
23,"Es el mejor hotel de la ciudad sin duda, su ubicación, el personal es supremamente atento y amable, mi hija quiere volver a ""su casa en Barranquilla"" Ya me habia quedado en la linea sheraton en otras ciudades y siempre quedo muy satisfecha"
24,"En términos generales el servio  en el hotel me pareció excelente; desde el mismo momento del ingreso hasta la salida; tienen colaboradores muy amables, respetuosos, sonrientes y que brindan un buen trato a las personas."
25,"Deben mejorar las opciones del desayuno, el pan no era muy bueno, las salchichas saladas, el jugo de naranja extremadamente ácido.  No tenían muy claro la tarifa de hoteles.com y me cobraron los impuestos, después que me llegó la factura me di cuenta que me los cobraron 2 veces."
26,"En general el servicio estuvo muy bueno, lo único que llamo mi atención es que me ofrecieron una tarifa de estadía que  incluía el desayuno y posteriormente me indicaron cobros por este servicio, no cumpliendo en este aspecto con lo ofrecido en la reserva"
27,"100% satisfecha, el servicio del personal es excelente, muy buena ubicación. Los cuartos cómodos y limpios. El restaurante muy eficaz y deliciosa comida, el servicio del bar deliciosos cócteles . Espero regresar . "
28,"El sitio de los parquaderos esta algo descuidado, su ingreso es muy angosto y se hace difícil para vehículos grandes. En mi caso de una camioneta prado, se debe maniobrar mucho. Por lo demás muy bueno el servicio y muy confortable las habitaciones"
29,"Unos de los mejores hoteles en Barranquilla que me he quedado, lo súper recomendó. En todo lo sentido. La atención, la amabilidad, la instalación y el lugar hay muchos lugares donde ir cerca y un centro comercial! "
30,"Servicio muy bueno , lo único que no me gusto fue el mal olor que se concentra en el parqueadero, del resto  muy bien, habitaciones cómoda, ubicación excelente,  los empleados muy amables gracias por su atención                                                                                                                                                                                            "
31,"su personal super amable! las habitaciones uno A una experiencia agradable. Todos desde el portero hasta los meseros,super serviciales. Lo recomiendo ampliamente para descansar, negocios, familia. La comida es muy buena, variada. las habitaciones muy limpias."
32,"Me encanta las instalaciones y el servicio, lo recomendaría siempre ya que su atención es excelente y el acompañamiento de las personas del hotel frente a las necesidades del huésped fueron excelentes."
33,"Excelente la experiencia que vive en esta oportunidad, tuve un impace de salud y todos los colaboradores del hotel permanecieron atento a mi situación, siempre estaré agradecido con ustedes por la atención que brindaron a mi y a mi familia"
34,"Muy buena ubicación, buen servicio y atención del personal en general, excelente opción, buena relación calidad/precio, servicio de restaurante con variedad de opciones en menú, luz en habitación no adecuada para trabajar."
35,"Me hicieron sentir como en casa, las instalaciones proyectan la calidad y el buen servicio que tiene este maravilloso hotel, la pasé súper bien, el desayuno delicioso y la atención de cada uno de los empleados es excelente. Espero volver en otra oportunidad."
36,"Disfrute mucho la estadía en el hotel, excelente servicio, una ubicación muy buena ya que todo me parece que queda cerca al hotel, muy buen aseo y la comida deliciosa. Muy satisfecha con el servicio recibido."
37,"preparé una sorpresa para celebrar mi aniversario, y todo estuvo de maravilla desde el primero momento: el proceso de escoger las opciones de planes, los planes en sí (hay muchos planes de celebración especial y varias opciones de habitaciones, lo que los hace diferenciadores), el servicio para ver opciones de menú, todo. El proceso de pago fue ágil, seguro y siempre me brindaron opciones que se adaptaron a mis expectativas y necesidades. Por el tipo de celebración, y de acuerdo a la disponibilidad del hotel, me dieron la opción de registrarnos más temprano de lo establecido, y nos ofrecieron late check out como algo especial por la celebración. Todo el personal está siempre dispuesto a colaborar, es amable, y sonriente. Las instalaciones son maravillosas, cómodas, con excelente"
38,…
39,"es un hotel de buena calidad digno de recomendar, con gusto estaria de nuevo en el,  para proximas oportunidades me gustaria conyar con un Jacussi en la terrasa  en la parte de ingreso estuvo un poco compldado porque estan en obra civil en lla calle"
40,"Excelentes habitaciones con camas muy cómodas y deliciosa comida, el aspecto más llamativo es la amabilidad de todo su personal, te hacen sentir como en casa, el área de piscina es su mayor debilidad sin embargo se encuentra en marcha una necesaria remodelacion del área. "
41,"La ubicación del hotel es perfecta para moverse en Barranquilla, cerca tiene restaurantes gimnasios y complejos empresariales. Zona super tranquila facil acceso, las habitaciones muy cómodas limpias y con detalles muy bien cuidados. El personal del restaurante es explendido, te llaman por tu nombre, te sugieren un menú que puedes personalizar y estan pendientes de cada detalle, para viajeros como yo que pasamos mucho tiempos entre aeropuertos y hoteles, este restaurante es como ir a comer a casa, Jenifer es super amable siempre sonriente y muy amable. la comida una fusión típica gourmet  que resulta una delicia. Pero la estrella del lugar es la atención, y Jenifer.."
42,"Me hospede con mi esposo y la atención fue excelente, respondieron de forma inmediata a todas nuestras solicitudes.El desayuno estuvo delicioso y variado durante nuestra estadía. Esperamos volver pronto, gracias hotel Four Points."
43,"Estuvo con mi novio hospedada y la atencion fue en verdad maravillosa, desde los chicos de botones y en recepción, hasta el chico de piscina. todos muy atentos, desayuno delicioso WOWWWWWWW espero volver pronto a este hermoso hotel."
44,"Disfrutamos de un fin de semana increible, la habitacion bien equipada, el desayuno estuvo muy delicioso quedamos felices y sobretodo destacar la calidad humana y ubicacion, todo muy cercano y central. Pronto estaremos de regreso!"
45,"Excelente Servicio, un lugar acogedor donde puedes tener la certeza de descansar, las instalaciones cómodas y limpias, el personal que te atiende son muy atentos y colaboradores. !SÚPER RECOMENDADO¡..."
46,"Excelente todo, fue una buena elección pasar un fin de semana en sus instalaciones, muy grato en todo sentido, la habitación excelente, la calidad de los alimentos super buena y el servicio en general por parte de los encargados excelentes."
47,"¡Excelente servicio sin duda,!, volveré pronto, las instalaciones super limpias y acogedoras,el personal del servicio muy atentos y prestos a colaborar en las necesidades de los huéspedes.ME ENCANTO LA ATENCION mil gracias"
48,"Necesito compartir mi opinión sobre el servicio de este hotel. Desde la recepción en el checking. Nos recibió un joven de nombre David. Impecable presentación. Amable y muy puntual.he viajado por a muchos países , experiencias diferentes.  Nunca antes recibimos atención igual. Fue Extraordinaria su atención. Desde el botones, restaurante, bar terraza, Spa, en verdad. Impecable limpieza y muy lindo . Gracias a todos!!!! Mi nombre Fernanda Martínez y Carlos islas  De México"
49,"Todo muy bien, solo que al momento de bajar a desayunar y subir de nuevo ya habian pasado por la habitacion el personal y no le hacian nada. Nomas como que iban y checaban y falta un extractor de olores en los baños."
50,"En la recepción lo hubo claridad, no hubo respuesta a solicitudes.  La información entregada en recepción no coincidía un día con la entregada al día siguiente.  La amabilidad del personal es indudable pero deben ajustar muchísimos otros temas. "
51,"Me sentí como en mi casa. El servicio que recibí de todos los empleados fue excelente desde el momento que hice el check in hasta que termine mi estadía. Jennifer, en especial, hizo mi estadía muchísimo mas placentera. Su atención y dedicación es incomparable. Gracias Jennifer por tu hospitalidad. Definitivamente me quedare en este hotel cuando regrese"
52,"Las cosas que hay en la habitación para uso estaban para 1 sola persona y éramos 2 (agua, shampoo, acondicionador etc)                     La cama es muy blanda el servicio es excelente, todos son cordiales, el desayuno delicioso"
53,"Todo muy bien!!! Excelente servicio. Muy cómodo y los empleados siempre dispuestos y con una gran sonrisa. El Loby divino! La cama super comoda, y la iluminación de la habitación le da un toque de elegancia único al lugar  "
54,"EL servicio de los empleados fue absolutamente espectacular. Las instalaciones del hotel son muy buenas, y la ubicación inmejorable. Tiene cerca restaurantes, centro comercial, casino, y demás lugares donde uno puede dispersarse."
55,"La llegada desde el aeropuerto duró un poco, pero el servicio fue desde un inicio excelente. La atención de todos los empleados fue muy positivo. La comida del restaurante Cooks puedo recomendar. Este hotel definitivamente es entre los top de los Four Points donde me quedaba hasta ahora."
56,"Fui al Four Points en plan familiar y realmente quedamos sumamente complacidos, personal muy amable y siempre dispuesto. Habitaciones super comodas y limpia. Volveria con mucho gusto de nuevo y se lo recomendare a todo el que pueda"
57,"todo muy bien, mi sugerencia es que las camas son muy blandas y las personas que tenemos problemas de espalda no nos conviene. ademas muy pequeñas para cuando vas en familia , en mi caso que fui con mi esposa y dos hijos quedamos apretados en las camas."
58,"Fui con mi esposo e hijos un fin de semana y la experiencia fue muy agradable. El servicio de todo en el hotel es espectacular y el desayuno delicioso, hay gran variedad de alimentos... Volvería sin pensarlo! "
59,"Es un hotel muy bien ubicado, cerca a varios restaurantes buenos y a mall. Las habitaciones son cómodas y limpias. La atención del personal es muy buena. El desayuno es muy limitado y siempre es lo mismo, no hay variedad de quesos, panes, etc La piscina es pequeña y sin ambiente, le falta mantenimiento a las instalaciones. Es un hotel para dormir solamente, no hay mucho que hacer en el. "
60,"Espectacular la manera que nos tratan... Gracias y un abrazo a la Gerente... Alexandra, por tan hermoso detalle de enviarle unas galletas a nuestros hijos. Son felices y nos motivan a seguir utilizando este hotel. Gracias. "
61,"Desde el momento del ingreso se siente que hay algo diferente , la amabilidad es latente y agradable.. Tenia una necesidad para conseguir servicios externos de diferente índole, electricista y todero paa un evetno en otro lugar de Barranquilla y afortunadamente conseguí asesoría del personal del hotel ( Jennifer, no recuerdo el apellido )pero fue excelente pues no tuve que salir a buscar y ella me ayudo desinteresadamente y oportunamente, al parecer tiene el servicio como manera de ser con amor y facilidad bajo las banderas de la organización. Sigan así motiven a las personas que eso deja muy bien la firma frente a los clientes. Todas las personas muy amables y cordiales, transmiten confianza sin ser "" metiches""."
62,"Muy buena atención. Tanto el alojamiento, el servicio de desayuno, room service y en general todo el servicio estuvo de primera, esto hizo que nuestra estancia en Barranquilla sea muy agradable. Muchas gracias por todo."
63,"Lugar muy especial, comida deliciosa con dulces típicos de la región,panadería exquisita, el personal es muy atento y cordial,dispuesto a dar información sobre la ciudad. Gracias! Maravillosa la estancia."
64,"Increible la atencion recibida en el hotel por absolutamente todos los empleados... siempre con una sonrrisa, super sericiales y resolviendo todo lo que le se pueda uno imaginar... Espectacular atencion..!!"
65,"Este hotel cuenta con excelente ubicación, a pocos pasos de centros comerciales y buenos restaurantes. Las habitaciones son limpias y confortables. Cero ruido. Buena comida. La atención del personal es muy buena. 100% recomendado."
66,"Tuve el gusto de hospedarme una noche y cenar en Cook’s ,  sin duda alguna lo recomiendo y en especial la amabilidad y cortesía de su personal a cargo, resalto la atención de Johanna quien en todo momento estuvo atenta a mis requerimientos de alimentación ."
67,". El personal muy amable y el servicio muy bueno, las instalaciones muy confortables . Tuvimos una muy agradable estadía en familia.. Su ubicación en la ciudad es excelente, pues nos facilitaba el desplazamiento a restaurantes y centros comerciales .Lo recomiendo  "
68,"Todo muy bien. Quizás un pequeño inconveniente al llegar con el registro. De ahí en adelante todo bien. A mejorar: Se siente un poco de ruido en las habitaciones, cuando los demás huespedes del mismo piso cierran las puertas de sus habitaciones. Probablementa nos tocaron de vecinos una familia con niños que tiraban la puerta, quien sabe. Pero todo en general muy bien y muy recomendado."
69,"La camarera deberia barrer y trapear con mas frecuencia Un dia le dijimos que no necesita limpiar la habitacion, siguiente dia si podia limpiar toda, pero na barrio ni trapio. Tienen algunos minutos solamente para hacer cada cuarto?"
70,"Hotel agradable y bien ubicado. Muy buen personal, muy educado y simpático. Muy buen desayuno, restaurante y bar. Bonitas vistas de la ciudad en la parte superior del hotel. Sin duda un hotel para recomendar."
71,"Realmente la pase ESPECTACULAR, Gracias a los chicos de recepción. el recibimiento es especial, el desayuno variado, piscina, parqueadero, un hermoso lobby. que experiencia linda. VOLVEREMOS  es recomendado 100% deberian ir todos con su familia, el trato es maraviloso."
72,"Muy buena opción en la cuidad de Barranquilla para días de trabajo! Su ubicación es ideal con buenas vías de acceso, la alimentación muy buena como siempre! Se debe visitar el rooftop donde está la piscina y un bar para las horas de la tarde"
73,Gran Hotel recomendado en una excelente zona y la amabilidad de todo el personal es difícil de encontrar en otros sitios.  El servicio de Wifi es excelente muy buena señal y velocidad en la habitación. Restaurante impecable y los meseros son muy atentos.  cafe extragrande!
74,"Se demoran mucho en acreditar los puntos a Marriot Rewards, hasta la fecha No ha sido posible que lo Hagan, aspecto tan sencillo como lo convierten en algo tan dificil Estoy a la espera aun de la acredticacion "
75,"Excelente servicio, gente querida y atenta y Alegre Desde la administración, una actitud sincera al cliente  Camilo, Jeniffer, Steven y todos . Comida rica, ubicación perfecta, Recomendación de transporte con Guia Lo mejor. Barranquilla es otra cara que vale la pena visitar"
76,"Viaje con mis dos niños y se porto de maravilla con mis hijos!estas experiencias hacen querer volver a visitarlos, felicitaciones a todo el personal y al Botones por ser tan atento y detallista de cada momento att: Mamá de los Niños! "
77,"Un lugar muy cómodo, limpio y tranquilo, con una atención personalizada, respetuosa y de muy buena calidad.  la alimentación estuvo buena y la ubicación del hotel es de muy fácil acceso.  es una muy buena alternativa de hospedaje para mis viajes de negocios."
78,"La amabilidad del personal es de elogiar. Desde MARIA en recepcion, y en la parte de Restaurante al señor Luis, Dainer, Zoila y Jenifer, Su actitud es de mucha admiracion. Mis sinceras felicitaciones."
79,"menú 4 tiempos ofrecido para plan aniversario mas acorde a cena, considero que se ajustan más para almuerzos. pero estaba delicioso lo que escogimos. la decoración de la habitación de todo mi gusto. Sobria pero hermosa. "
80,Excelente ubicacion y muy buenos servicios. Muy buena opcion para estadias de negocios en Barranquilla.  Muy buenos restaurantes cercanos y el area local es segura.  El Hotel esta bastante cerca de las oficinas centrales de Electricaribe que es nuestro cliente principal en Barranquilla. 
81,"En el tiempo que estuve, los empleados con los que tuve contactos fueron muy atentos sobre todo los del restaurante, recepción y botones. Gracias por su atención en mi estadía y me gustaría volver a este hotel"
82,"3 año consecutivo escogiendo este lugar para nuestras vacaciones en Barranquilla y no deja de sorprendernos su excelente servicio, amabilidad y resolución de solicitudes. Nos encantan sus desayunos con platos típicos de la region, el personal es amable y siempre nos hacen sentir como en casa. Jenifer y Catalina, todos en general fueron muy atentos con nuestras necesidad y la de nuestra hija. Mil gracias y esperamos volver en nuestra próxima visita a Barranquilla "
83,"Habitación comóda con cortesía de agua, café y té. Delicioso desayuno con muchas opciones para todos los gustos, oferta de comida del restaurante a un precio acesible y con algunas opciones de platos típicos de Barranquilla."
84,"Muy buena experiencia, la atención del personal, el estado de las habitaciones y la comida en general fueron excelentes.  El servicio del restaurante es muy bueno, la calidez de las personas que atienden te hacen el día agradable. "
85,"Fue muy cómodo estar en el hotel, muy atentos. Me saludó el jefe de alimentos, en la entrada una persona nos ayudaba a coger el taxi, entre otras cosas. Solo me hubiera gustado que cambiaran las toallas grandes usadas, del dia 1 al 2, no las cambiaron, usé una toalla pequeña, el 3er día sí cambiaron las toallas."
86,"Los empleados del hotel están comprometidos con el buen servicio a los huéspedes, excelente ubicación en la parte más comercial de Barranquilla. El aseo y presentación de las habitaciones fue lo más importante de la estadía. Adicionalmente el servicio de restaurante es de excelente calidad"
87,"Estuvimos alojados del 14 al 15 de Junio y tuvimos una experiencia muy agradable.El hotel está ubicado un muy buen  barrio (Alto Prado), con m,uchas zonas verdes bien cuidadas. El hotel tiene muy buen servicio, su personal es amable, siempre dispuesto a ayudarte,es muy limpio  y tiene un restaurante con una gran variedad de platos tipicos de la region exquisitos y muy bien presentados."
88,"Gracias a todos por hacernos sentir cómodos y atendidos en sus instalaciones, el personal expresa un excelente servicio, podría decir que el mejor lugar para hospedarse en Colombia. Habitaciones en excelente estado y confortables. "
89,"Las instalaciones del hotel son cómodas y confortables, el aseo es impecable; la actitud de servicio en los empleados es de resaltar. El Hotel queda en un sector comercial muy agradable, en donde encuentras fácilmente  restaurantes, cajeros, almacenes..."
90,"Las habitaciones muy limpias, el servicio de Romo Service muy bueno, respuesta rápida ante todas las solicitudes, el personal es muy amable y siempre estaban atentos, el restaurante y desayuno buffet excelente "
91,"Luego de pasar 5 días en un hotel en Cartagena con muchas cosas por mejorar, bajarnos del taxi y ser recibidos por los botones con la cordialidad que caracteriza al Colombiano fue como volver a empezar el viaje.   Nos ayudaron con todo nuestro equipaje sin necesidad de pedir ayuda y créanme, llevábamos equipaje y cajas como si pensáramos mudarnos al hotel.   Seguidamente me recibe en recepción Ariel, con una enorme sonrisa y una calidez inigualable. Hice varias solicitudes con respecto a las habitaciones y todas fueron atendidas satisfactoriamente por él.  La habitación impecable, de punta en blanco, súper atentos con el servicio de las habitaciones.   El hotel tiene una ubicación privilegiada, a pocas cuadras y caminando tienes acceso a múltiples opciones para tomar algo, comer"
92,…
93,"un buen hotel que cuenta con un personal idoneo que brindan un buen servicio a cualquier necesidad, esta situado en un buen lugar de barranquilla donde la movilidad es de fácil acceso, rodeado de puntos de interés como lo son centros comerciales restaurantes y demás sitios de importancia.  "
94,"Es un hotel acogedor, de fácil acceso y con un servicio inigualable. Se preocupan por hacer sentir al huésped como en casa. Recomendado al 100% incluido comparado con otros hoteles de la misma linea en otras ciudades."
95,"Buen lugar para descansar, las habitaciones son cómodas y las camas son adecuadas, buen servicio de Internet y el desuyuno tiene amplia gama de productos alimenticios para poder seleccionar la mejor opción "
96,"Desde el acompañamiento comercial a nuestra empresa hasta la misma prestación del servicio se puede sentir la calidad en sus procesos y las ganas de hacer la visita memorable, la ubicación del hotel y sus instalaciones son una ventaja competitiva en la ciudad."
97,"Sugerir que la piscina el horario se extienda  por que quise despues de un duro dia de trabajo relajarme con un baño en la piscina y disfrutar del paisaje de la zotea, al igual que tomarme una cerveza con un jazz o un blue y fue nulo. solo fuero excusas."
98,"Buen Hotel, buen servicio, muy buen desayuno. Zona cercana a la Piscina sucia y descuidada. Una botella de agua solicitada en la piscina puede demorar hasta una hora. El personal del hotel siempre en buena actitud y dispocisión."
99,"Hotel Muy bien ubicado y con buenos restaurantes en la zona . Excelentes habitaciones, muy comodas y muy buen trato por parte del personal de servicio, a pesar de lo lleno del hotel. Buen parqueo y muy bueno el desayuno."
100,"Fui al Four Points by Sheraton de Barranquilla y desafortunadamente no tuve una buena experiencia. Voy con mucha frecuencia pero la verdad esta ves el hotel estuvo mal en muchos frentes. Tipo de Habitación, gimnasio, desayuno. Para una estadía de una noche es demasiado. Espero que tomen lo correctivos. Es la segunda vez que tengo una mala experiencia en el mismo hotel y este año he estado en hoteles Marriott 47 noches y nunca me fue tan mal. "
101,"Me gusto la ubicación , es estratégica ya que no tiene el trancon de carros del norte de la ciudad Buen servicio del personal en nuestro evento empresarial  Felicitaciones!!  se esmeraron por dar lo mejor "
102,"Ya había tenido la experiencia en la cadena de hoteles Sheraton en EEUU y está fue la primera vez en Colombia. Excelente servicio, restaurante y cocina fue increíble, más que en otros Sheraton. Su atención y calidad hacen que se pueda recomendar y desear volver."
103,"Excelente servicio, me gustaría que zonas como la piscina estuvieran abiertas hasta más tarde. Todo lo demás estuvo muy bien. Los empleados hacen una gran labor y las habitaciones estaban muy bonitas y limpias "
104,"En todo es sobresaliente, su desayuno bufete es espectacular, muy organizado, muy recomendado, habitaciones limpias y agradables, muy bien ubicado en una magnífica zona de la Ciudad con buenos restaurantes cerca..."
105,"Cada empleado es feliz en atender a los clientes y hacen que uno que sienta feliz, así tenga un mal día. Me encantó. Lugar recomendado para pasar un rato y descansar. Sus camas son lo mejor, no me quería levantar"
106,"Excelente atención, amabilidad, muy cerca de buenos restaurantes. Habitaciones confortables. Buena comida en restaurant. Se muestran siempre dispuestos a ofrecer ayuda de forma cordial y con una sonrisa en el rostro."
107,"Siempre me hospedo en este hotel por trabajo y se nota que se esfuerzan por hacer sentir bien a sus clientes recurrentes. El servicio de quienes atienden el restaurante es muy bueno, siempre están pendientes, además la música es agradable. "
108,"Desde que llegue las personas muy amables, los ambientes limpios , ordenados. En cuanto a la comida había variedad, fue una buena experiencia. La ubicacion era adecuada, los alrededores seguros y con acceso a centros comerciales. "
109,"El nivel de profesionalismo fue increíble desde el front desk etc; me gustaría darle las gracias a las siguentes personas que fueron muy atentos en el momento de mi estadía; Maria CaMiLa Velez, Efraín que nos atendió en el roof top wow que humildad y profesionalismo de empleado y a la señorita Jennifer el área del desayuno.  Soy Executive Chef de Profesión y tengo que decir que la calidad de comida fue lo mejor... gracias a él team de#Fourpoint por su calidad hospitalidad y team work que generan sus Totalmente recordando 🙌🏼😄 "
110,"En general el hotel es muy bueno, tuve un pequeño inconveniente con mi cuenta por un error al momento del registro de mi hija, pero fue solucionado satisfactoriamente por la chica que me realizo el Check out. las instalaciones son buenas en general."
111,"Excelente servicio y calidad en general del hotel. Buena habitación, buen restaurante, buena atención por parte del personal del hotel. Solo recomendaría mejorar la iluminación de las habitaciones. gracias"
112,"Aunque en general la atención es buena,  tuve un gran inconveniente al llegar al indicarme en recepción que mi reserva no se encontraba aún cuando esta estaba confirmada y pagada 15 días antes. Me propusieron hospedarme en otro hotel una de las 3 noches que correspondieron a mi estancia.  Es un punto que para la categoría del hotel no puede pasar.  "
113,"Excelente atencion, las habitaciones son muy comodas, el internet es veloz y el servicio de restaurante es muy bueno, ademas de la ubicacion del hotel, me gusta la atencion del personal, algo elevados los precios del restaurante y del room service pero la comida es excelente."
114,"Realmente he visto una mejor dispocision   en el servicio por parte de los empleados, más sonrientes y atentos, me sorprendió que llegamos en carro y salieron a recibirnos en el parqueadero antes de entrar. "
115,"Quiero felicitar a todo el hotel por su iniciativa y versatilidad. A pesar de ser un hotel de negocios, tienen una excelente orientación al servicio y en especial con mis hijos fueron un amor. Estuvimos en semana santa de paseo por la arenosa y el trato a mis hijos fue espectacular, le mandaron una tarjeta con sus nombres para darnos la bienvenida, hubo tarde dd cine para mis hijos y hasta me los cuidaron mientras uno de los trabajadores nos ayudaban a cambiar la llanta del carro. De verdad nunca se me olvidará todas las atenciones que tuvieron con mi familia y por esa razón volveré. No me llego la encuesta por eso hice el comentario hasta ahora."
116,"El servicio es muy bueno, pero algunos factores como mas personal en recepcion y restaurante deben mejorar. La limpieza tambien presento algunos problemas, no repusieron los articulos de aseo paer a la segunda noche y tampoco el cafe."
117,"Excelente disposición, limpieza y servicio. Estoy muy agradecido por la comodidad atención del personal. Creo que recomendaria totalemente este hotel a mis familiares y amigos cercanos. Asimismo la empresa."
118,"Me gusto mucho la estadia en este hotel.Lo unico es que hay un murito pequeño para entrar al baño y me parece peligroso para una persona adulta. Todo el personal muy amable, atentos y atienden con mucha satisfaccion"
119,"Todo es excelente gracias,  excepto la piscina muy pequeña. Las instalaciones y sobre todo la habitación deja que uno pase por alto lo pequeño de la piscina. Un hotel como lo es el four points by sheraton es necesario una piscina mas grande. Muchas gracias. "
120,"Un excelente servicio. Se nota la formación del personal adscrito al hotel. Se trata de una experiencia que genera recordación. Estaría dispuesto a regresar en una oportunidad futura. Se dispone de un muy buen restaurante, con un servicio prioritario y disposición de atender oportunamente y con compromiso."
